유가 전국평균가격,9,무,8
경락가평균가격,37,무,19
도매가격,38,무,53
반입량,4,무,3
최저기온(°C),3,무,4
최고기온(°C),3,무,3
일강수량(mm),2,무,2
연휴 유무,3,무,5
유가 전국평균가격,5,배추,4
경락가평균가격,21,배추,23
도매가격,59,배추,43
반입량,3,배추,4
최저기온(°C),3,배추,5
최고기온(°C),5,배추,2
일강수량(mm),1,배추,1
연휴 유무,2,배추,16
유가 전국평균가격,5,상추,13
경락가평균가격,13,상추,8
도매가격,54,상추,49
반입량,8,상추,13
최저기온(°C),5,상추,4
최고기온(°C),4,상추,9
일강수량(mm),3,상추,2
연휴 유무,8,상추,2
유가 전국평균가격,9,오이,5
경락가평균가격,15,오이,20
도매가격,51,오이,19
반입량,6,오이,8
최저기온(°C),8,오이,5
최고기온(°C),6,오이,6
일강수량(mm),3,오이,5
연휴 유무,3,오이,29
유가 전국평균가격,15,양파,9
경락가평균가격,28,양파,15
도매가격,30,양파,59
반입량,8,양파,2
최저기온(°C),8,양파,4
최고기온(°C),8,양파,4
일강수량(mm),3,양파,2
연휴 유무,0,양파,2
