양파,2017년 5월,하락세,-15.07%,본격적인 출하철을 맞아 전반적으로 채소 가격이 하락했다. 1kg당 평균 양파 가격은 976원 정도이다.
양파,2019년 4월,상승세,8.99%,"지속적인 양파 가격 하락에 재배면적을 줄였고, 그에 따라 소폭 가격이 상승한 것으로 판단된다."
양파,2019년 7월,하락세,-12.38%,양파 생산량이 평년보다 13% 더 많아 공급과잉 현상으로 가격이 하락했다. 1kg 당 582원 정도이다.
양파,2020년 2월,상승세,15.81%,코로나19 영향으로 중국산 식자재 수입이 줄어들어 공급이 하락해 가격이 상승한 것으로 판단된다
양파,2020년 7월,하락세,-7.92%,안정적인 공급으로 작은 하락율을 보였다.
양파,양파 총평,,,양파의 경우 중국 수입량이 많아 국내 양파 가격이 수입량에 따라 많이 의존하는 것을 알 수 있다.
상추,2017년 7월,상승세,81.16%,장마와 폭염으로 인해 채소류 출하가 차질을 빚으면서 가격이 급등했다. 
상추,201년  10월,하락세,-25.73%,폭염과 폭우로 급등했던 채소류 가격이 시간이 지나며 출하물량 증가로 가격이 하락했다.
상추,2018년 8월,상승세,31.84%,폭염으로 인해 100g당 1800원으로 증가했다.
상추,2018년 10월,하락세,-27.54%,지난 7월 폭염·가뭄과 8월 고온과 잦은 비로 인해 상승한 가격이 하락세를 보이고 있다.
상추,2019년 8월,상승세,60.54%,폭염에 출하량 줄면서 상추 가격 폭등하여 삼겹살 값과 비슷하게 책정되고 있다. 
상추,상추 총평,,,"상추 가격의 경우 초여름부터 급등하고, 여름이 지나면 급락하는 추세를 보인다."
배추,2017년 7월,상승세,72.62%,극심한 가뭄과 장마로 인해 수확량이 감소해 배추 가격이 급등하였다.
배추,2017년 10월,하락세,-37.74%,폭염과 폭우로 급등했던 채소류 가격이 시간이 지나며 출하물량 증가로 가격이 하락했다.
배추,2018년 9월,상승세,51.99%,"폭염과 가뭄, 태풍으로 인해 올라간 물가가 급등했다."
배추,2018년 10월,하락세,-41.11%,지난 7월 폭염·가뭄과 8월 고온과 잦은 비로 인해 상승한 가격이 하락세를 보이고 있다. 
배추,2019년 8월,상승세,73.13%,여름 태풍의 영향으로 재배면적이 감소하여 상승세를 보이고 있다.
배추,배추 총평,,,"배추의 경우 여름 가뭄, 장마, 폭염에 큰 영향을 받아 가격 변동이 심한 것을 알 수 있다."
무,2017년 10월,하락세,-27.49%,폭염과 폭우로 급등했던 채소류 가격이 출하물량 증가로 하락하면서 가격은 급락하였다.
무,2018년 2월,상승세,42.43%,당초에는 월동무 재배면적이 크게 늘어 가격 약세가 예상됐지만 동해로 도매시장 반입량이 크게 줄면서 높은 가격이 지속되었다.
무,2018년 11월,하락세,-34.82%,지난 7월 폭염·가뭄과 8월 고온과 잦은 비 등 산지의 기상조건이 좋지 않아 출하량이 급감하면서 하락세를 나타내었다.
무,2019년 10월,상승세,37.36%,여름이 지나 배추 가격이 상승세를 보이고 있다.
무,2020년 9월,상승세,50.63%,장마·태풍에 농산물 가격 최대 2배 이상을 기록했다. 
무,무 총평,,,무의 경우 김장철과 맞물려 가을초와 겨울에 가격 등락폭이 심하게 나타나는 것을 알 수 있다.
오이,2017년 8월,상승세,66.66%,장마와 폭염으로 인해 채소류 출하가 차질을 빚으면서 가격이 급등했다.
오이,2017년 11월,하락세,-47.47%,심한 폭염과 가뭄이 나타났단 여름이 지나고 기상 조건이 좋아져 공급량은 많아지고 전반적인 채소 가격이 하락하게 되었다.
오이,2018년 8월,상승세,75.28%,폭염이 시작되자 오이 1개에 1000원꼴로 상승하였다. 이전에는 4개에 1900원이었으며 두배 이상 가격이 오른 셈이다.
오이,2018년 10월,하락세,-37.22%,지난 7월 폭염·가뭄과 8월 고온과 잦은 비로 인해 상승한 가격이 하락세를 보였다.
오이,2019년 9월,상승세,34.15%,여름 무더위에 꺾인 수확량으로 오이의 가격이 상승하였다.
오이,오이 총평,,,오이의 경우 강한 햇볕에 약해 여름에 장마와 폭염으로 가격 상승이 이루어지는 것을 알 수 있다.
